KEY,English,Deutsch,Français,Italiano,Spanish,Portuguese (Euro),Portuguese (Brazil),Polish,Russian,Japanese,Chinese (simplified),Chinese (traditional),Korean,Turkish,Greek,Dutch,Vietnamese
LightRocketCV,[c][FFF300]125mm Unguided Missile[-][/c],[c][FFF300]125mm Ungelenkte Rakete[-][/c],[c][FFF300]Fusée non guidée de 125 mm[-][/c],[c][FFF300]Razzo non guidato da 125 mm[-][/c],[c][FFF300]Cohete no guiado de 125 mm[-][/c],,,,,,,,,,,,
FlakRocketMS,[c][FFF300]Flak Shell CV[-][/c],[c][FFF300]Flak Geschoss GR[-][/c],[c][FFF300]Obus Flak CV[-][/c],[c][FFF300]Munizioni AntiAeree NC[-][/c],[c][FFF300]Munición antiaérea (NC)[-][/c],[c][FFF300]Escudo Flak NC[-][/c],[c][FFF300]Munição de Anti-Aéreo NM[-][/c],[c][FFF300]Flak pocisk CV[-][/c],[c][FFF300]Зенитный снаряд БС[-][/c],[c][FFF300]対空弾CV[-][/c],[c][FFF300]高射炮弹 (主力舰)[-][/c],[c][FFF300]主力飛船高射炮彈[-][/c],[c][FFF300]플랙 셸 CV[-][/c],[c][FFF300]Uçaksavar Mermisi AG[-][/c],[c][FFF300]Αντιαεροπορικό Κέλυφος CV[-][/c],[c][FFF300]Flak granaat CV[-][/c],[c][FFF300]Đạn pháo phòng không CV[-][/c]
PulseLaserChargeMS,[c][FFF300]Ls.Charge CV[-][/c],[c][FFF300]Ls.Ladung GR[-][/c],[c][FFF300]Charge laser CV[-][/c],[c][FFF300]Carica Laser NC[-][/c],[c][FFF300]Carga láser (NC)[-][/c],[c][FFF300]CargaLs. NC[-][/c],[c][FFF300]Carga de Ls. - NM[-][/c],[c][FFF300]Ls. ogniwo CV[-][/c],[c][FFF300]Лаз. заряд БС[-][/c],[c][FFF300]パルスチャージ(CV)[-][/c],[c][FFF300]脉冲激光电池 (主力舰)[-][/c],[c][FFF300]主力飛船鐳射充能[-][/c],[c][FFF300]Ls.충전 CV[-][/c],[c][FFF300]Lazer Şarjı AG[-][/c],[c][FFF300]Γεμιστήρας Λέιζερ CV[-][/c],[c][FFF300]Ls.accu CV[-][/c],
PulseLaserChargeMSWeapon,[c][FFF300]Ls.Charge II CV[-][/c],[c][FFF300]Ls.Ladung II GR[-][/c],[c][FFF300]Charge laser II CV[-][/c],[c][FFF300]Carica Laser II NC[-][/c],[c][FFF300]Carga láser II (NC)[-][/c],[c][FFF300]CargaLs. II NC[-][/c],[c][FFF300]Carga de Ls. II NM[-][/c],[c][FFF300]Ls. ogniwo II CV[-][/c],[c][FFF300]Лаз. заряд II БС[-][/c],[c][FFF300]パルスチャージMK2(CV)[-][/c],[c][FFF300]巨型脉冲激光电池 (主力舰)[-][/c],[c][FFF300]主力飛船鐳射充能II[-][/c],[c][FFF300]Ls.충전 II CV[-][/c],[c][FFF300]Lazer Şarjı II AG[-][/c],[c][FFF300]Γεμιστήρας Λέιζερ II CV[-][/c],[c][FFF300]Ls.accu II CV[-][/c],
TurretMSPlasmaCharge,[c][FFF300]Pl.Charge CV[-][/c],[c][FFF300]PK Ladung GR[-][/c],[c][FFF300]Charge PI CV[-][/c],[c][FFF300]Carica al Plasma NC[-][/c],[c][FFF300]Carga de plasma (NC)[-][/c],[c][FFF300]CargaPl. NC[-][/c],[c][FFF300]Carga de Canhão Pl - NM[-][/c],[c][FFF300]Pl. ogniwo CV[-][/c],[c][FFF300]Пл. заряд БС[-][/c],[c][FFF300]プラズマチャージ(CV)[-][/c],[c][FFF300]等离子炮电池 (主力舰)[-][/c],[c][FFF300]主力飛船等離子充能[-][/c],[c][FFF300]Pl.충전 CV[-][/c],[c][FFF300]Plazma Şarjı AG[-][/c],[c][FFF300]Γεμιστήρας Πλάσματος CV[-][/c],[c][FFF300]Pl.accu CV[-][/c],
FastRocketMS,[c][FFF300]150mm H-MSL[-][/c],[c][FFF300]150mm Z-RAK[-][/c],[c][FFF300]150mm H-MSL[-][/c],[c][FFF300]Missile a Ricerca (150mm)[-][/c],[c][FFF300]Misil Buscador (150mm)[-][/c],[c][FFF300]H-MSL 150 mm[-][/c],[c][FFF300]H-MSL 150mm[-][/c],[c][FFF300]150mm H-MSL[-][/c],[c][FFF300]150 мм ракета с ГСН[-][/c],[c][FFF300]追尾型ミサイル(150mm)[-][/c],[c][FFF300]150mm巨型火箭弹 (制导)[-][/c],[c][FFF300]150mm H-導彈[-][/c],[c][FFF300]150mm H-MSL[-][/c],[c][FFF300]150mm G-Füze[-][/c],[c][FFF300]150mm H-MSL[-][/c],[c][FFF300]150mm H-MSL[-][/c],
LargeRocketMS,[c][FFF300]160mm MSL[-][/c],[c][FFF300]160mm RAK[-][/c],[c][FFF300]160mm MSL[-][/c],[c][FFF300]Missile 160mm[-][/c],[c][FFF300]Misil (160mm)[-][/c],[c][FFF300]MSL 160 mm[-][/c],[c][FFF300]Míssil 160mm[-][/c],[c][FFF300]160mm MSL[-][/c],[c][FFF300]160 мм ракета[-][/c],[c][FFF300]ミサイル(160mm)[-][/c],[c][FFF300]160mm巨型火箭弹 (主力舰)[-][/c],[c][FFF300]160mm 導彈[-][/c],[c][FFF300]160mm MSL[-][/c],[c][FFF300]160mm Füze[-][/c],[c][FFF300]160mm MSL[-][/c],[c][FFF300]160mm MSL[-][/c],
HWSValentinesCake,HWS Valentines Cake,HWS Valentins Kuchen,,,,,,,,,,,,,,,
HWSValentinesRecipe,HWS Valentines Recipe,HWS Valentins Rezept,,,,,,,,,,,,,,,
HWS_Info_ValentinesRecipe,Use this special ingredient for your Valentines Cake. You can find more of it in the Valentines Mission in the EGS HQ,Nutze dieses besondere Zutat für deinen Valentins Kuchen. Finde mehr davon in der Valentins Mission im EGS HQ,,,,,,,,,,,,,,,
ttwBase,[c][ff0000]Base[-][/c],Basis,Base,Base,Base,Base,Base,Baza,База,BA,基地,基地,기지,,Βάση,Basis,Căn cứ
ttwCapitalVessel,[c][fff700]Capital Vessel[-][/c],Großes Raumschiff,Vaisseau mère,Nave Capitale,Nave Capital,Nave Capital,Nave Capital,Okręt Dowodzenia,Большое судно,CV,主力舰,主力飛船,모선 선체,,Κεντρικό Όχημα,Capital schip,Tàu Hạm
ttwSmallVessel,[c][00ff04]Small Vessel[-][/c],Kleines Raumschiff,Petit vaisseau,Vascello,Nave Pequeña,Nave Pequena,Nave Pequena,Statek Kosmiczny,Малое судно,SV,小飞船,小型飛船,소형 선체,,Μικρό Όχημα,Klein ship,Tàu nhỏ
ttwHoverVessel,[c][007bff]Hover Vessel[-][/c],Bodengleiter,Hover,Hovercraft,Nave de Levitación,Nave Flutuante,Planador,Ślizgacz Magnetyczny,Парящее судно,HV,悬浮飞船,懸浮飛船,호버 선체,,Όχημα Hover,Zweef schip,Tàu Thăm Dò
ttwMisc,Misc,Diverses,Divers,Varie,Varios,Diversos,Outros,Inne,Прочее,その他,杂项,其他,기타,,Διάφορα,Overig,Khác
ttwTools,Tools,Werkzeuge,Outils,Strumenti,Herramientas,Ferramentas,Ferramentas,Narzędzia,Инструменты,ツール,工具,工具,도구,,Εργαλεία,Gereedschap,Công cụ
ttwWeapons,Weapons,Waffen,Armes,Armi,Armas,Armas,Armas,Broń,Оружие,ウェポン,武器,武器,무기,,Όπλα,Wapens,Vũ khí
ttwElementalBlocks,[c][ff00d4]Elemental Blocks[-][/c],Elementare Blöcke,,,,,,,,,,,,,,,
ttwElementalItems,[c][ff00d4]Elemental Items[-][/c],Elementare Items,,,,,,,,,,,,,,,
aquablocklarge,[c][2359d7]Aqua Element[-][/c]\nEffective against [c][e7390d]Pyro[-][/c]\nIneffective against [c][1abc42]Terra[-][/c],,,,,,,,,,,,,,,,
aquablocksmall,[c][2359d7]Aqua Element[-][/c]\nEffective against [c][e7390d]Pyro[-][/c]\nIneffective against [c][1abc42]Terra[-][/c],,,,,,,,,,,,,,,,
terrablocklarge,[c][1abc42]Terra Element[-][/c]\nEffective against [c][2359d7]Aqua[-][/c]\nIneffective against [c][e7390d]Pyro[-][/c],,,,,,,,,,,,,,,,
terrablocksmall,[c][1abc42]Terra Element[-][/c]\nEffective against [c][2359d7]Aqua[-][/c]\nIneffective against [c][e7390d]Pyro[-][/c],,,,,,,,,,,,,,,,
pyroblocklarge,[c][e7390d]Pyro Element[-][/c]\nEffective against [c][1abc42]Terra[-][/c]\nIneffective against [c][2359d7]Aqua[-][/c],,,,,,,,,,,,,,,,
pyroblocksmall,[c][e7390d]Pyro Element[-][/c]\nEffective against [c][1abc42]Terra[-][/c]\nIneffective against [c][2359d7]Aqua[-][/c],,,,,,,,,,,,,,,,
obsidianblocklarge,[c][6312b5]Obsidian Element[-][/c]\nEffective against [c][ffffff]Lux[-][/c]\nIneffective against [c][777777]Nox[-][/c],,,,,,,,,,,,,,,,
obsidianblocksmall,[c][6312b5]Obsidian Element[-][/c]\nEffective against [c][ffffff]Lux[-][/c]\nIneffective against [c][777777]Nox[-][/c],,,,,,,,,,,,,,,,
luxblocklarge,[c][ffffff]Lux Element[-][/c]\nEffective against [c][777777]Nox[-][/c]\nIneffective against [c][6312b5]Obsidian[-][/c],,,,,,,,,,,,,,,,
luxblocksmall,[c][ffffff]Lux Element[-][/c]\nEffective against [c][777777]Nox[-][/c]\nIneffective against [c][6312b5]Obsidian[-][/c],,,,,,,,,,,,,,,,
noxblocklarge,[c][555555]Nox Element[-][/c]\nEffective against [c][6312b5]Obsidian[-][/c]\nIneffective against [c][ffffff]Lux[-][/c],,,,,,,,,,,,,,,,
noxblocksmall,[c][555555]Nox Element[-][/c]\nEffective against [c][6312b5]Obsidian[-][/c]\nIneffective against [c][ffffff]Lux[-][/c],,,,,,,,,,,,,,,,
strangeletblocklarge,[c][ff00d4]Strangelet Element[-][/c]\nEffective against [c][fff700]Everything[-][/c]\nIneffective against ---,,,,,,,,,,,,,,,,
strangeletblocksmall,[c][ff00d4]Strangelet Element[-][/c]\nEffective against [c][fff700]Everything[-][/c]\nIneffective against ---,,,,,,,,,,,,,,,,
aquadevicelarge,[c][2359d7]Aqua Element[-][/c]\nEffective against [c][e7390d]Pyro[-][/c]\nIneffective against [c][1abc42]Terra[-][/c],,,,,,,,,,,,,,,,
aquadevicesmall,[c][2359d7]Aqua Element[-][/c]\nEffective against [c][e7390d]Pyro[-][/c]\nIneffective against [c][1abc42]Terra[-][/c],,,,,,,,,,,,,,,,
terradevicelarge,[c][1abc42]Terra Element[-][/c]\nEffective against [c][2359d7]Aqua[-][/c]\nIneffective against [c][e7390d]Pyro[-][/c],,,,,,,,,,,,,,,,
terradevicesmall,[c][1abc42]Terra Element[-][/c]\nEffective against [c][2359d7]Aqua[-][/c]\nIneffective against [c][e7390d]Pyro[-][/c],,,,,,,,,,,,,,,,
pyrodevicelarge,[c][e7390d]Pyro Element[-][/c]\nEffective against [c][1abc42]Terra[-][/c]\nIneffective against [c][2359d7]Aqua[-][/c],,,,,,,,,,,,,,,,
pyrodevicesmall,[c][e7390d]Pyro Element[-][/c]\nEffective against [c][1abc42]Terra[-][/c]\nIneffective against [c][2359d7]Aqua[-][/c],,,,,,,,,,,,,,,,
obsidiandevicelarge,[c][6312b5]Obsidian Element[-][/c]\nEffective against [c][ffffff]Lux[-][/c]\nIneffective against [c][777777]Nox[-][/c],,,,,,,,,,,,,,,,
obsidiandevicesmall,[c][6312b5]Obsidian Element[-][/c]\nEffective against [c][ffffff]Lux[-][/c]\nIneffective against [c][777777]Nox[-][/c],,,,,,,,,,,,,,,,
luxdevicelarge,[c][ffffff]Lux Element[-][/c]\nEffective against [c][777777]Nox[-][/c]\nIneffective against [c][6312b5]Obsidian[-][/c],,,,,,,,,,,,,,,,
luxdevicesmall,[c][ffffff]Lux Element[-][/c]\nEffective against [c][777777]Nox[-][/c]\nIneffective against [c][6312b5]Obsidian[-][/c],,,,,,,,,,,,,,,,
noxdevicelarge,[c][555555]Nox Element[-][/c]\nEffective against [c][6312b5]Obsidian[-][/c]\nIneffective against [c][ffffff]Lux[-][/c],,,,,,,,,,,,,,,,
noxdevicesmall,[c][555555]Nox Element[-][/c]\nEffective against [c][6312b5]Obsidian[-][/c]\nIneffective against [c][ffffff]Lux[-][/c],,,,,,,,,,,,,,,,
strangeletdevicelarge,[c][ff00d4]Strangelet Element[-][/c]\nEffective against [c][fff700]Everything[-][/c]\nIneffective against ---,,,,,,,,,,,,,,,,
strangeletdevicesmall,[c][ff00d4]Strangelet Element[-][/c]\nEffective against [c][fff700]Everything[-][/c]\nIneffective against ---,,,,,,,,,,,,,,,,
elements,[c][fff700]All Elements[-][/c] [c][555555][i](Choose with RMB)[/i][-][/c],,,,,,,,,,,,,,,,
aquanpc,[c][2359d7]Aqua Element[-][/c]\nEffective against [c][e7390d]Pyro[-][/c]\nIneffective against [c][1abc42]Terra[-][/c],,,,,,,,,,,,,,,,
terranpc,[c][1abc42]Terra Element[-][/c]\nEffective against [c][2359d7]Aqua[-][/c]\nIneffective against [c][e7390d]Pyro[-][/c],,,,,,,,,,,,,,,,
pyronpc,[c][e7390d]Pyro Element[-][/c]\nEffective against [c][1abc42]Terra[-][/c]\nIneffective against [c][2359d7]Aqua[-][/c],,,,,,,,,,,,,,,,
obsidiannpc,[c][6312b5]Obsidian Element[-][/c]\nEffective against [c][ffffff]Lux[-][/c]\nIneffective against [c][777777]Nox[-][/c],,,,,,,,,,,,,,,,
luxnpc,[c][ffffff]Lux Element[-][/c]\nEffective against [c][777777]Nox[-][/c]\nIneffective against [c][6312b5]Obsidian[-][/c],,,,,,,,,,,,,,,,
noxnpc,[c][555555]Nox Element[-][/c]\nEffective against [c][6312b5]Obsidian[-][/c]\nIneffective against [c][ffffff]Lux[-][/c],,,,,,,,,,,,,,,,
strangeletnpc,[c][ff00d4]Strangelet Element[-][/c]\nEffective against [c][fff700]Everything[-][/c]\nIneffective against ---,,,,,,,,,,,,,,,,
aquaitem,[c][2359d7]Aqua Element[-][/c]\nEffective against [c][e7390d]Pyro[-][/c]\nIneffective against [c][1abc42]Terra[-][/c],,,,,,,,,,,,,,,,
terraitem,[c][1abc42]Terra Element[-][/c]\nEffective against [c][2359d7]Aqua[-][/c]\nIneffective against [c][e7390d]Pyro[-][/c],,,,,,,,,,,,,,,,
pyroitem,[c][e7390d]Pyro Element[-][/c]\nEffective against [c][1abc42]Terra[-][/c]\nIneffective against [c][2359d7]Aqua[-][/c],,,,,,,,,,,,,,,,
obsidianitem,[c][6312b5]Obsidian Element[-][/c]\nEffective against [c][ffffff]Lux[-][/c]\nIneffective against [c][777777]Nox[-][/c],,,,,,,,,,,,,,,,
luxitem,[c][ffffff]Lux Element[-][/c]\nEffective against [c][777777]Nox[-][/c]\nIneffective against [c][6312b5]Obsidian[-][/c],,,,,,,,,,,,,,,,
noxitem,[c][555555]Nox Element[-][/c]\nEffective against [c][6312b5]Obsidian[-][/c]\nIneffective against [c][ffffff]Lux[-][/c],,,,,,,,,,,,,,,,
strangeletitem,[c][ff00d4]Strangelet Element[-][/c]\nEffective against [c][fff700]Everything[-][/c]\nIneffective against ---,,,,,,,,,,,,,,,,
HWSAquaElemental,Aqua Elemental,,,,,,,,,,,,,,,,
HWSAquaElementalMelee,Aqua Fighter Elemental,,,,,,,,,,,,,,,,
HWSTerraElemental,Terra Elemental,,,,,,,,,,,,,,,,
HWSTerraElementalMelee,Terra Fighter Elemental,,,,,,,,,,,,,,,,
HWSPyroElemental,Pyro Elemental,,,,,,,,,,,,,,,,
HWSPyroElementalMelee,Pyro Fighter Elemental,,,,,,,,,,,,,,,,
HWSObsidianElemental,Obsidian Elemental,,,,,,,,,,,,,,,,
HWSObsidianElementalMelee,Obsidian Fighter Elemental,,,,,,,,,,,,,,,,
HWSLuxElemental,Lux Elemental,,,,,,,,,,,,,,,,
HWSLuxElementalMelee,Lux Fighter Elemental,,,,,,,,,,,,,,,,
HWSNoxElemental,Nox Elemental,,,,,,,,,,,,,,,,
HWSNoxElementalMelee,Nox Fighter Elemental,,,,,,,,,,,,,,,,
HWSStrangeletElemental,Strangelet Elemental,,,,,,,,,,,,,,,,
HWSStrangeletElementalMelee,Strangelet Fighter Elemental,,,,,,,,,,,,,,,,
UnlockCost, Unlock cost [i][c][555555](if -1 this means you have to unlock it by a Quest)[-][/c][/i],,,,,,,,,,,,,,,,
HWSAquaBlocksLarge,HWSAquaBlocksLarge,
HWSAquaBlockLarge,HWSAquaBlockLarge,
HWSAquaBlockThinLarge,HWSAquaBlockThinLarge,
HWSAquaBlockLargeExtended,HWSAquaBlockLargeExtended,
HWSAquaBlockLargeExtended2,HWSAquaBlockLargeExtended2,
HWSAquaBlockLargeExtended3,HWSAquaBlockLargeExtended3,
HWSAquaBlockLargeExtended4,HWSAquaBlockLargeExtended4,
HWSAquaBlockLargeExtended5,HWSAquaBlockLargeExtended5,
HWSAquaBlockLargeExtended6,HWSAquaBlockLargeExtended6,
HWSAquaBlocksSmall,HWSAquaBlocksSmall,
HWSAquaBlockSmall,HWSAquaBlockSmall,
HWSAquaBlockThinSmall,HWSAquaBlockThinSmall,
HWSAquaBlockSmallExtended,HWSAquaBlockSmallExtended,
HWSAquaBlockSmallExtended2,HWSAquaBlockSmallExtended2,
HWSAquaBlockSmallExtended3,HWSAquaBlockSmallExtended3,
HWSAquaBlockSmallExtended4,HWSAquaBlockSmallExtended4,
HWSAquaBlockSmallExtended5,HWSAquaBlockSmallExtended5,
HWSAquaBlockSmallExtended6,HWSAquaBlockSmallExtended6,
HWSTerraBlocksLarge,HWSTerraBlocksLarge,
HWSTerraBlockLarge,HWSTerraBlockLarge,
HWSTerraBlockThinLarge,HWSTerraBlockThinLarge,
HWSTerraBlockLargeExtended,HWSTerraBlockLargeExtended,
HWSTerraBlockLargeExtended2,HWSTerraBlockLargeExtended2,
HWSTerraBlockLargeExtended3,HWSTerraBlockLargeExtended3,
HWSTerraBlockLargeExtended4,HWSTerraBlockLargeExtended4,
HWSTerraBlockLargeExtended5,HWSTerraBlockLargeExtended5,
HWSTerraBlockLargeExtended6,HWSTerraBlockLargeExtended6,
HWSTerraBlocksSmall,HWSTerraBlocksSmall,
HWSTerraBlockSmall,HWSTerraBlockSmall,
HWSTerraBlockThinSmall,HWSTerraBlockThinSmall,
HWSTerraBlockSmallExtended,HWSTerraBlockSmallExtended,
HWSTerraBlockSmallExtended2,HWSTerraBlockSmallExtended2,
HWSTerraBlockSmallExtended3,HWSTerraBlockSmallExtended3,
HWSTerraBlockSmallExtended4,HWSTerraBlockSmallExtended4,
HWSTerraBlockSmallExtended5,HWSTerraBlockSmallExtended5,
HWSTerraBlockSmallExtended6,HWSTerraBlockSmallExtended6,
HWSPyroBlocksLarge,HWSPyroBlocksLarge,
HWSPyroBlockLarge,HWSPyroBlockLarge,
HWSPyroBlockThinLarge,HWSPyroBlockThinLarge,
HWSPyroBlockLargeExtended,HWSPyroBlockLargeExtended,
HWSPyroBlockLargeExtended2,HWSPyroBlockLargeExtended2,
HWSPyroBlockLargeExtended3,HWSPyroBlockLargeExtended3,
HWSPyroBlockLargeExtended4,HWSPyroBlockLargeExtended4,
HWSPyroBlockLargeExtended5,HWSPyroBlockLargeExtended5,
HWSPyroBlockLargeExtended6,HWSPyroBlockLargeExtended6,
HWSPyroBlocksSmall,HWSPyroBlocksSmall,
HWSPyroBlockSmall,HWSPyroBlockSmall,
HWSPyroBlockThinSmall,HWSPyroBlockThinSmall,
HWSPyroBlockSmallExtended,HWSPyroBlockSmallExtended,
HWSPyroBlockSmallExtended2,HWSPyroBlockSmallExtended2,
HWSPyroBlockSmallExtended3,HWSPyroBlockSmallExtended3,
HWSPyroBlockSmallExtended4,HWSPyroBlockSmallExtended4,
HWSPyroBlockSmallExtended5,HWSPyroBlockSmallExtended5,
HWSPyroBlockSmallExtended6,HWSPyroBlockSmallExtended6,
HWSObsidianBlocksLarge,HWSObsidianBlocksLarge,
HWSObsidianBlockLarge,HWSObsidianBlockLarge,
HWSObsidianBlockThinLarge,HWSObsidianBlockThinLarge,
HWSObsidianBlockLargeExtended,HWSObsidianBlockLargeExtended,
HWSObsidianBlockLargeExtended2,HWSObsidianBlockLargeExtended2,
HWSObsidianBlockLargeExtended3,HWSObsidianBlockLargeExtended3,
HWSObsidianBlockLargeExtended4,HWSObsidianBlockLargeExtended4,
HWSObsidianBlockLargeExtended5,HWSObsidianBlockLargeExtended5,
HWSObsidianBlockLargeExtended6,HWSObsidianBlockLargeExtended6,
HWSObsidianBlocksSmall,HWSObsidianBlocksSmall,
HWSObsidianBlockSmall,HWSObsidianBlockSmall,
HWSObsidianBlockThinSmall,HWSObsidianBlockThinSmall,
HWSObsidianBlockSmallExtended,HWSObsidianBlockSmallExtended,
HWSObsidianBlockSmallExtended2,HWSObsidianBlockSmallExtended2,
HWSObsidianBlockSmallExtended3,HWSObsidianBlockSmallExtended3,
HWSObsidianBlockSmallExtended4,HWSObsidianBlockSmallExtended4,
HWSObsidianBlockSmallExtended5,HWSObsidianBlockSmallExtended5,
HWSObsidianBlockSmallExtended6,HWSObsidianBlockSmallExtended6,
HWSLuxBlocksLarge,HWSLuxBlocksLarge,
HWSLuxBlockLarge,HWSLuxBlockLarge,
HWSLuxBlockThinLarge,HWSLuxBlockThinLarge,
HWSLuxBlockLargeExtended,HWSLuxBlockLargeExtended,
HWSLuxBlockLargeExtended2,HWSLuxBlockLargeExtended2,
HWSLuxBlockLargeExtended3,HWSLuxBlockLargeExtended3,
HWSLuxBlockLargeExtended4,HWSLuxBlockLargeExtended4,
HWSLuxBlockLargeExtended5,HWSLuxBlockLargeExtended5,
HWSLuxBlockLargeExtended6,HWSLuxBlockLargeExtended6,
HWSLuxBlocksSmall,HWSLuxBlocksSmall,
HWSLuxBlockSmall,HWSLuxBlockSmall,
HWSLuxBlockThinSmall,HWSLuxBlockThinSmall,
HWSLuxBlockSmallExtended,HWSLuxBlockSmallExtended,
HWSLuxBlockSmallExtended2,HWSLuxBlockSmallExtended2,
HWSLuxBlockSmallExtended3,HWSLuxBlockSmallExtended3,
HWSLuxBlockSmallExtended4,HWSLuxBlockSmallExtended4,
HWSLuxBlockSmallExtended5,HWSLuxBlockSmallExtended5,
HWSLuxBlockSmallExtended6,HWSLuxBlockSmallExtended6,
HWSNoxBlocksLarge,HWSNoxBlocksLarge,
HWSNoxBlockLarge,HWSNoxBlockLarge,
HWSNoxBlockThinLarge,HWSNoxBlockThinLarge,
HWSNoxBlockLargeExtended,HWSNoxBlockLargeExtended,
HWSNoxBlockLargeExtended2,HWSNoxBlockLargeExtended2,
HWSNoxBlockLargeExtended3,HWSNoxBlockLargeExtended3,
HWSNoxBlockLargeExtended4,HWSNoxBlockLargeExtended4,
HWSNoxBlockLargeExtended5,HWSNoxBlockLargeExtended5,
HWSNoxBlockLargeExtended6,HWSNoxBlockLargeExtended6,
HWSNoxBlocksSmall,HWSNoxBlocksSmall,
HWSNoxBlockSmall,HWSNoxBlockSmall,
HWSNoxBlockThinSmall,HWSNoxBlockThinSmall,
HWSNoxBlockSmallExtended,HWSNoxBlockSmallExtended,
HWSNoxBlockSmallExtended2,HWSNoxBlockSmallExtended2,
HWSNoxBlockSmallExtended3,HWSNoxBlockSmallExtended3,
HWSNoxBlockSmallExtended4,HWSNoxBlockSmallExtended4,
HWSNoxBlockSmallExtended5,HWSNoxBlockSmallExtended5,
HWSNoxBlockSmallExtended6,HWSNoxBlockSmallExtended6,
HWSStrangeletBlocksLarge,HWSStrangeletBlocksLarge,
HWSStrangeletBlockLarge,HWSStrangeletBlockLarge,
HWSStrangeletBlockThinLarge,HWSStrangeletBlockThinLarge,
HWSStrangeletBlockLargeExtended,HWSStrangeletBlockLargeExtended,
HWSStrangeletBlockLargeExtended2,HWSStrangeletBlockLargeExtended2,
HWSStrangeletBlockLargeExtended3,HWSStrangeletBlockLargeExtended3,
HWSStrangeletBlockLargeExtended4,HWSStrangeletBlockLargeExtended4,
HWSStrangeletBlockLargeExtended5,HWSStrangeletBlockLargeExtended5,
HWSStrangeletBlockLargeExtended6,HWSStrangeletBlockLargeExtended6,
HWSStrangeletBlocksSmall,HWSStrangeletBlocksSmall,
HWSStrangeletBlockSmall,HWSStrangeletBlockSmall,
HWSStrangeletBlockThinSmall,HWSStrangeletBlockThinSmall,
HWSStrangeletBlockSmallExtended,HWSStrangeletBlockSmallExtended,
HWSStrangeletBlockSmallExtended2,HWSStrangeletBlockSmallExtended2,
HWSStrangeletBlockSmallExtended3,HWSStrangeletBlockSmallExtended3,
HWSStrangeletBlockSmallExtended4,HWSStrangeletBlockSmallExtended4,
HWSStrangeletBlockSmallExtended5,HWSStrangeletBlockSmallExtended5,
HWSStrangeletBlockSmallExtended6,HWSStrangeletBlockSmallExtended6,
HWSAquaTurretBABlocks,HWSAquaTurretBABlocks,
HWSAquaTurretBAT1,HWSAquaTurretBAT1,
HWSAquaTurretBAT2,HWSAquaTurretBAT2,
HWSAquaTurretBAT3,HWSAquaTurretBAT3,
HWSAquaTurretBAT4,HWSAquaTurretBAT4,
HWSAquaTurretBAT5,HWSAquaTurretBAT5,
HWSTerraTurretBABlocks,HWSTerraTurretBABlocks,
HWSTerraTurretBAT1,HWSTerraTurretBAT1,
HWSTerraTurretBAT2,HWSTerraTurretBAT2,
HWSTerraTurretBAT3,HWSTerraTurretBAT3,
HWSTerraTurretBAT4,HWSTerraTurretBAT4,
HWSTerraTurretBAT5,HWSTerraTurretBAT5,
HWSPyroTurretBABlocks,HWSPyroTurretBABlocks,
HWSPyroTurretBAT1,HWSPyroTurretBAT1,
HWSPyroTurretBAT2,HWSPyroTurretBAT2,
HWSPyroTurretBAT3,HWSPyroTurretBAT3,
HWSPyroTurretBAT4,HWSPyroTurretBAT4,
HWSPyroTurretBAT5,HWSPyroTurretBAT5,
HWSObsidianTurretBABlocks,HWSObsidianTurretBABlocks,
HWSObsidianTurretBAT1,HWSObsidianTurretBAT1,
HWSObsidianTurretBAT2,HWSObsidianTurretBAT2,
HWSObsidianTurretBAT3,HWSObsidianTurretBAT3,
HWSObsidianTurretBAT4,HWSObsidianTurretBAT4,
HWSObsidianTurretBAT5,HWSObsidianTurretBAT5,
HWSLuxTurretBABlocks,HWSLuxTurretBABlocks,
HWSLuxTurretBAT1,HWSLuxTurretBAT1,
HWSLuxTurretBAT2,HWSLuxTurretBAT2,
HWSLuxTurretBAT3,HWSLuxTurretBAT3,
HWSLuxTurretBAT4,HWSLuxTurretBAT4,
HWSLuxTurretBAT5,HWSLuxTurretBAT5,
HWSNoxTurretBABlocks,HWSNoxTurretBABlocks,
HWSNoxTurretBAT1,HWSNoxTurretBAT1,
HWSNoxTurretBAT2,HWSNoxTurretBAT2,
HWSNoxTurretBAT3,HWSNoxTurretBAT3,
HWSNoxTurretBAT4,HWSNoxTurretBAT4,
HWSNoxTurretBAT5,HWSNoxTurretBAT5,
HWSStrangeletTurretBABlocks,HWSStrangeletTurretBABlocks,
HWSStrangeletTurretBAT1,HWSStrangeletTurretBAT1,
HWSStrangeletTurretBAT2,HWSStrangeletTurretBAT2,
HWSStrangeletTurretBAT3,HWSStrangeletTurretBAT3,
HWSStrangeletTurretBAT4,HWSStrangeletTurretBAT4,
HWSStrangeletTurretBAT5,HWSStrangeletTurretBAT5,
HWSChaosTurretBABlocks,HWSChaosTurretBABlocks,
HWSAquaChaosTurretBA,HWSAquaChaosTurretBA,
HWSTerraChaosTurretBA,HWSTerraChaosTurretBA,
HWSPyroChaosTurretBA,HWSPyroChaosTurretBA,
HWSObsidianChaosTurretBA,HWSObsidianChaosTurretBA,
HWSLuxChaosTurretBA,HWSLuxChaosTurretBA,
HWSNoxChaosTurretBA,HWSNoxChaosTurretBA,
HWSStrangeletChaosTurretBA,HWSStrangeletChaosTurretBA,
HWSAquaTurretCVBlocks,HWSAquaTurretCVBlocks,
